game_id,team_id,plus_minus,avg_opp_elo,is_home,days_since_last,is_back_to_back
0021900566,1610612745,-21.0,1473.3157457240163,0.0,1.0,1.0
0021900578,1610612740,-35.0,1512.4605810749813,0.0,1.0,1.0
0021900579,1610612741,9.0,1510.8150683415238,0.0,1.0,1.0
0021900580,1610612747,15.0,1510.997226433915,0.0,1.0,1.0
0021900581,1610612742,18.0,1536.23705699038,1.0,1.0,1.0
0021900583,1610612749,21.0,1471.524068825341,0.0,1.0,1.0
0021900589,1610612743,10.0,1468.1448258714436,1.0,1.0,1.0
0021900595,1610612766,-3.0,1514.3060932462968,0.0,1.0,1.0
0021900603,1610612739,-25.0,1509.2250829112909,0.0,1.0,1.0
0021900605,1610612751,-11.0,1503.660561791061,0.0,1.0,1.0
0021900611,1610612745,-10.0,1483.38960942172,1.0,1.0,1.0
0021900612,1610612742,4.0,1525.3689359170028,0.0,1.0,1.0
0021900615,1610612738,-5.0,1471.0098910091422,0.0,1.0,1.0
0021900617,1610612743,3.0,1475.465888862506,0.0,1.0,1.0
0021900618,1610612753,-27.0,1508.7711234213093,0.0,1.0,1.0
0021900629,1610612737,-33.0,1506.8208023290877,1.0,1.0,1.0
0021900630,1610612755,3.0,1536.1168220338848,0.0,1.0,1.0
0021900631,1610612741,2.0,1505.6721821031604,1.0,1.0,1.0
0021900631,1610612739,-2.0,1500.779154637332,0.0,1.0,1.0
0021900632,1610612761,10.0,1507.4485894594952,0.0,1.0,1.0
0021900632,1610612750,-10.0,1496.9219499328813,1.0,1.0,1.0
0021900635,1610612757,-13.0,1502.7917306942725,0.0,1.0,1.0
0021900635,1610612760,13.0,1518.2035820351255,1.0,1.0,1.0
0021900644,1610612748,5.0,1501.1587688423047,1.0,1.0,1.0
0021900649,1610612743,7.0,1476.251375870358,0.0,1.0,1.0
0021900650,1610612759,2.0,1535.4224755709001,0.0,1.0,1.0
0021900651,1610612754,-30.0,1515.6032017287168,0.0,1.0,1.0
0021900656,1610612746,-7.0,1487.2965132504169,0.0,1.0,1.0
0021900666,1610612764,12.0,1496.4633050814148,0.0,1.0,1.0
0021900667,1610612747,15.0,1496.3603928390032,0.0,1.0,1.0
0021900681,1610612765,-10.0,1466.3605341550444,1.0,1.0,1.0
0021900682,1610612741,12.0,1508.9921470019765,0.0,1.0,1.0
0021900683,1610612760,9.0,1514.2624204218844,0.0,1.0,1.0
0021900683,1610612750,-9.0,1515.049035210904,1.0,1.0,1.0
0021900688,1610612751,-13.0,1535.7990842120657,0.0,1.0,1.0
0021900694,1610612753,-21.0,1497.6053609421967,0.0,1.0,1.0
0021900695,1610612759,-1.0,1525.7677193404568,0.0,1.0,1.0
0021900698,1610612745,9.0,1505.8013358633755,0.0,1.0,1.0
0021900700,1610612739,-14.0,1486.2361394416114,1.0,1.0,1.0
0021900701,1610612748,-8.0,1488.6552057302831,1.0,1.0,1.0
0021900706,1610612742,-29.0,1518.2885132564622,1.0,1.0,1.0
0021900710,1610612763,21.0,1480.038613539833,0.0,1.0,1.0
0021900710,1610612752,-21.0,1526.4702937082038,1.0,1.0,1.0
0021900718,1610612762,-6.0,1462.6414548736288,0.0,1.0,1.0
0021900719,1610612758,21.0,1506.4456335124203,0.0,1.0,1.0
0021900720,1610612761,13.0,1455.938989947187,0.0,1.0,1.0
0021900724,1610612743,12.0,1487.5142142000568,0.0,1.0,1.0
0021900731,1610612751,-6.0,1523.6790745225048,0.0,1.0,1.0
0021900733,1610612742,23.0,1508.8312400530328,1.0,1.0,1.0
0021900735,1610612757,17.0,1523.4542955090628,1.0,1.0,1.0
0021900736,1610612747,16.0,1487.281922905945,0.0,1.0,1.0
0021900746,1610612756,-22.0,1497.8306880661653,0.0,1.0,1.0
0021900748,1610612765,-14.0,1470.8175464473816,0.0,1.0,1.0
0021900752,1610612766,-15.0,1516.7894160826195,0.0,1.0,1.0
0021900754,1610612759,-27.0,1524.7890525846353,0.0,1.0,1.0
0021900762,1610612743,3.0,1502.141909483975,0.0,1.0,1.0
0021900764,1610612753,-2.0,1510.5107943374023,0.0,1.0,1.0
0021900769,1610612755,12.0,1520.143371000686,1.0,1.0,1.0
0021900774,1610612745,-36.0,1524.4605183506822,0.0,1.0,1.0
0021900776,1610612757,-3.0,1538.0922260562324,0.0,1.0,1.0
0021900778,1610612742,16.0,1507.584264331278,0.0,1.0,1.0
0021900779,1610612765,-3.0,1479.0528225977591,1.0,1.0,1.0
0021900780,1610612754,-7.0,1502.0181371364172,1.0,1.0,1.0
0021900781,1610612761,1.0,1451.2945748281415,1.0,1.0,1.0
0021900784,1610612756,-9.0,1505.2386222248929,1.0,1.0,1.0
0021900785,1610612758,20.0,1512.2625998527851,1.0,1.0,1.0
0021900787,1610612752,-5.0,1498.3533005304844,0.0,1.0,1.0
0021900791,1610612746,41.0,1467.0969551076062,0.0,1.0,1.0
0021900795,1610612737,-9.0,1512.3058557483462,0.0,1.0,1.0
0021900798,1610612762,4.0,1500.3286914030068,0.0,1.0,1.0
0021900800,1610612748,12.0,1496.537495469302,0.0,1.0,1.0
0021900805,1610612759,8.0,1520.1048003000114,0.0,1.0,1.0
0021900811,1610612764,18.0,1475.1653481770686,0.0,1.0,1.0
0021900812,1610612757,-7.0,1536.106460775247,0.0,1.0,1.0
0021900833,1610612763,-12.0,1481.1757064034034,0.0,1.0,1.0
0021900837,1610612742,-4.0,1500.7098500766463,0.0,1.0,1.0
0021900838,1610612739,-19.0,1469.1409596805154,0.0,1.0,1.0
0021900839,1610612756,8.0,1541.0622612958446,0.0,1.0,1.0
0021900841,1610612762,-10.0,1517.6913844303876,1.0,1.0,1.0
0021900845,1610612741,9.0,1484.5845150639846,1.0,1.0,1.0
0021900851,1610612764,-3.0,1458.9501746599146,1.0,1.0,1.0
0021900854,1610612750,-16.0,1534.8796052855298,0.0,1.0,1.0
0021900858,1610612749,11.0,1473.9442187498214,0.0,1.0,1.0
0021900864,1610612766,6.0,1485.4244449365872,1.0,1.0,1.0
0021900872,1610612738,11.0,1493.6983921010753,0.0,1.0,1.0
0021900873,1610612755,9.0,1520.710596050765,1.0,1.0,1.0
